"Joke";"Joke topic"
Why did princess Diana cross the road? Because she wasn't wearing her seatbelt.;Princess Diana
Pretty much just pronouncing "Caramel" however the person I'm talking to is pronouncing it.;Pronunciation
Why were Ru Paul and Buffalo Bill at the park? They were at a Tucker family reunion.;Ru Paul
INTERVIEWER: If Harry Potter was real, what Hogwarts house would you be in? ME: What do you mean "if" Harry Potter was real?;Harry Potter
I remember how the folks on food stamps cost our country trillions by selling bets on bad mortgages to suckers. Glad they're being punished!;Food stamps
[Jumps into taxi] "FOLLOW..." [taxi driver turns around excitedly] "...ME ON TWITTER" [Jumps out & moonwalks into Olive garden];Taxi
Why is Africa hot? Because of dat Djibouti.;Africa
Have you heard the one about the gay termite? He only eats mail boxes. (male boxes). Hmm. Works way better when told out loud.;Termite
I have a step ladder its a nice ladder, but I wish I knew my real ladder.;Ladder
I heard a group of pedophiles dressed up as superheroes and molested kids at birthday parties . Apparently they called themselves the Justkids League .;Pedophiles
Did you know fish have their own religion? It's called "ichtheology." They study it in school;Fish
You all like dinosaurs...right? What do you call a dinosaur with an extensive vocabulary? ***A thesaurus***;Dinosaurs
You're only as awkward as you say you are...out loud...in front of people...who were in a private conversation...that didn't involve you.;Awkwardness
Face down, Ass up. That's how I like to tie my shoes.;Shoes
VILLIAN: all this money is mine BANK TELLER: help us Velcroman, he's getting away VELCROMAN: *stuck to the floor* who puts carpet in a bank?;bank
I don't know what "swag" is, but I was just told Justin Bieber & Lil Wayne both claim to have it. So, I'm assuming it's not talent.;talent
First The Doctor Told Me The Good News I Was Going To Have A Disease Named After Me;disease
These five euphemisms for defecation will shock you! I can't believe #2;defecation
Me: "I'm trying to type the word 'fucking.'" My iPhone: "Huh? Surely you mean 'ducking.'" Me: "No, I mean 'fucking'." My iPhone: "Bullshot.";technology
"Come as you are. As you were. As I want you to be." ~ Kurt Cobain, confusing party coordinator;music
What are Russian clothes always made out of? Lenin.;clothing
Who's the best grammar Nazi? Adolf Hitler's grandmother.;grammar
If you like the song "Red Red Wine" then U B 40.;music
I never close my eyes in the shower because that's how murderers know when to show up and kill you.;murder
